Date,Check,Description,amount
4-Jan-21,7777,Transanction 1,$150.43 
5-Jan-21,,Transanction 2,$700.25 
6-Jan-21,,Transanction 3,"-$1,303.97"
7-Jan-21,,Transanction 4,$46.78 
8-Jan-21,,Transanction 5,$816.87 
11-Jan-21,1934,Transanction 6,"-$1,002.53"
12-Jan-21,7307,Transanction 7,$532.22 
13-Jan-21,1352,Transanction 8, -$704.59
14-Jan-21,,Transanction 9,$98.04 
15-Jan-21,,Transanction 10,-$204.56
25-Jan-21,,Transanction 11,"$1,056.27 "
26-Jan-21,,Transanction 12,$550.10 
27-Jan-21,,Transanction 13,-$852.77
28-Jan-21,,Transanction 14,$212.68 
29-Jan-21,,Transanction 15,$195.68 
2-Feb-21,9915,Transanction 16,-$463.75
3-Feb-21,,Transanction 17,$78.02 
4-Feb-21,,Transanction 18,$268.81 
5-Feb-21,,Transanction 19,"$1,360.55 "
6-Feb-21,,Transanction 20,-$594.46
8-Feb-21,,Transanction 21,$467.39 
9-Feb-21,9125,Transanction 22,$39.49 
10-Feb-21,,Transanction 23,-$81.87
11-Feb-21,7929,Transanction 24,$255.64 
12-Feb-21,,Transanction 25,$13.51 
